Timestamp,Which freelancing platform do you work on?,"During the COVID-19 pandemic, you are getting fewer job invitations than before.","In the freelancing platform where you work, there are fewer job posts during the COVID-19 pandemic than before.","During the COVID-19 pandemic, clients are offering lower prices for work than before.","During the COVID-19 pandemic, you are getting more job invitations than before.","In the freelancing platform where you work, there are more job posts during the COVID-19 pandemic than before.","During the COVID-19 pandemic, clients are offering higher prices for work than before.",Those past eight months have been hard for you to get new contracts as a freelancer for the COVID-19 pandemic.,"In the past eight months, you have got more contracts than in previous years.",What do you think about the reason for this increment?,What do you think about the reason for this decrement?,Staying home during the COVID-19 pandemic is an advantage for your freelancing career.,During the COVID-19 pandemic are you facing difficulties in delivering works in time?,During the COVID-19 pandemic are you facing difficulties in delivering quality work?,Based on your experience do you think during the COVID-19 pandemic your clients are delaying in releasing the funds?,Rate the present situation of the freelancing marketplace you work in.
9/9/2020 10:26:09,Upwork,Neutral,Neutral,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Increase in online-based jobs,,Neutral,Yes,Yes,No,1
9/13/2020 9:11:11,Upwork,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/16/2020 16:38:39,Freelancer,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,World economical situation,,Neutral,No,No,No,2
9/16/2020 23:07:20,Upwork,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,,COVID-19 pandemic,Agree,No,No,No,3
9/19/2020 1:39:51,Upwork,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,World economical situation,,Strongly agree,No,No,No,5
9/19/2020 1:40:57,Upwork,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 1:54:19,PeoplePerHour,Agree,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Neutral,,,Neutral,Yes,No,Yes,5
9/19/2020 1:56:47,Upwork,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,,COVID-19 pandemic,Strongly agree,Yes,No,No,5
9/19/2020 1:57:12,Upwork,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 1:58:48,Freelancer,Disagree,Neutral,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,4
9/19/2020 2:05:52,Upwork,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Increase in online-based jobs,,Agree,No,No,No,5
9/19/2020 2:07:09,Upwork,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 2:09:04,Freelancer,Agree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 2:09:23,Upwork,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/19/2020 2:10:58,PeoplePerHour,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Agree,Neutral,Neutral,,,Strongly agree,No,No,No,5
9/19/2020 9:47:29,Upwork,Neutral,Neutral,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,World economical situation,,Strongly agree,No,No,No,5
9/19/2020 9:55:18,Freelancer,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,World economical situation,,Strongly agree,No,No,No,5
9/19/2020 9:58:05,Upwork,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,,COVID-19 pandemic,Agree,No,No,No,5
9/19/2020 10:00:57,Upwork,Disagree,Neutral,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,,,Strongly agree,No,Yes,No,5
9/19/2020 10:03:07,Upwork,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,,,Agree,No,No,No,5
9/19/2020 10:04:26,Upwork,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,5
9/19/2020 10:16:46,Upwork,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,Yes,No,No,5
9/19/2020 10:28:43,Upwork,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly agree,Increase in online-based jobs,,Strongly agree,No,No,No,5
9/19/2020 10:29:15,Upwork,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,,,Agree,Yes,No,No,3
9/19/2020 10:29:35,Upwork,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,,,Agree,No,No,No,4
9/19/2020 10:50:16,Upwork,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Increase in online-based jobs,,Agree,No,No,No,4
9/19/2020 10:51:43,Upwork,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 10:57:03,Upwork,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,,,Agree,No,Yes,No,5
9/19/2020 11:09:36,Upwork,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 11:10:54,Upwork,Strongly agree,Strongly agree,Neutral,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,,COVID-19 pandemic,Strongly agree,No,No,No,5
9/19/2020 11:11:15,Upwork,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,The pandemic caused by COVID-19,,Agree,No,No,No,4
9/19/2020 11:14:34,Upwork,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Agree,The pandemic caused by COVID-19,,Strongly agree,No,No,No,3
9/19/2020 11:15:48,Freelancer,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,,,Strongly agree,No,No,No,4
9/19/2020 11:32:50,Upwork,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,,COVID-19 pandemic,Strongly agree,No,No,No,4
9/19/2020 11:36:06,Upwork,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,,,Strongly agree,No,No,No,5
